Index,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12
GERMANY.INDPROD.THERMAL  ,38184,34507,34412,31700,30165,27890,28828,26180,28081,34131,32706,36823,36049,32711,35654,29868,31245,28018,28203,28443,30086,34317,37884,32847,35540,40575,35900,33611,28751,28991,29405,29488,30243,35121,37031,35389
GERMANY.INDPROD.NUCLEAR  ,12483,10978,11674,10137,10672,9129,10835,11468,11305,9741,11571,12979,13531,11964,10745,7641,5115,6354,7484,7980,7639,7299,7991,8468,8800,8418,8729,5793,6724,6706,6805,8557,7995,8543,8645,8437
GERMANY.INDPROD.HYDRO    ,1828,1588,1894,1773,1961,2144,2066,2292,2183,1878,1958,2062,2262,1702,1776,1680,1713,2077,2285,2280,1832,1960,1521,2118,2512,2099,2315,2337,2588,2683,2391,2094,2194,2260,2251,2261
GERMANY.INDPROD.GEOTHERM ,3525,4410,6156,4689,3922,3568,3457,4363,4112,5089,4417,4518,4138,5459,4929,5973,5802,4821,5892,5175,5018,5691,3936,8682,7791,5695,6550,6169,7257,6809,6541,6192,6098,5728,4883,6170
GERMANY.INDPROD.ELECTR   ,56020,51484,54136,48299,46720,42732,45185,44302,45681,50838,50653,56382,55980,51836,53104,45161,43876,41270,43863,43878,44576,49267,51333,52114,54643,56788,53494,47910,45319,45189,45143,46330,46530,51652,52810,52257
GERMANY.IMPORTS.ELECTR   ,2785,2771,3704,2951,3281,4785,4299,4835,3764,3460,3359,2966,3804,2979,3763,4222,5102,5226,4912,4501,3991,3896,4434,4173,4235,3068,4165,4007,4524,4192,4272,3618,3458,3834,3527,3374
GERMANY.EXPORTS.ELECTR   ,6153,5672,5948,5237,3830,3215,4113,3635,4210,4843,5131,5931,6387,6007,5701,4131,2683,3210,3699,3324,3163,4634,5278,6551,5976,6305,6670,5242,4331,4444,4346,4845,5412,6467,6015,6757
GERMANY.CONSUME.ELECTR   ,52652,48583,51892,46013,46171,44302,45371,45502,45235,49455,48881,53417,53397,48808,51166,45252,46295,43286,45076,45055,45404,48529,50489,49736,52902,53551,50989,46675,45512,44937,45069,45103,44576,49019,50322,48874
GREECE.INDPROD.THERMAL   ,3833,2941,2916,3257,3548,3706,4591,4713,3743,3586,2897,3038,3753,3414,3506,2845,3104,2965,4361,3745,3439,2953,3475,3665,3785,3476,3215,2576,2970,3298,4183,3805,3284,3154,2967,3422
GREECE.INDPROD.NUCLEAR   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREECE.INDPROD.HYDRO     ,817,941,1076,390,349,364,560,420,263,537,724,1015,496,327,362,292,317,432,420,401,304,224,225,270,266,353,271,337,403,430,536,444,236,175,336,564
GREECE.INDPROD.GEOTHERM  ,314,272,248,249,153,154,203,213,212,227,299,330,178,248,300,356,274,261,256,377,368,509,372,422,413,345,351,495,363,559,471,471,456,626,530,517
